California,39th,"Takano, Mark",D,Education and the Workforce|Veterans' Affairs,
California,40th,"Kim, Young",R,Financial Services|Foreign Affairs,
California,41st,"Calvert, Ken",R,Appropriations,
California,42nd,"Garcia, Robert",D,Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic,
California,43rd,"Waters, Maxine",D,Financial Services,
California,44th,"Barragan, Nanette",D,Energy and Commerce,
California,45th,"Steel, Michelle",R,Education and the Workforce|Ways and Means|Select Comm on the Strategic Competition US and China,
California,46th,"Correa, J.",D,Homeland Security|Judiciary,
California,47th,"Porter, Katie",D,Oversight and Accountability|Natural Resources,
California,48th,"Issa, Darrell",R,"Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary|Science, Space, and Technology",
California,49th,"Levin, Mike",D,Natural Resources|Veterans' Affairs,
California,50th,"Peters, Scott",D,Budget|Energy and Commerce,
California,51st,"Jacobs, Sara",D,Armed Services|Foreign Affairs,
California,52nd,"Vargas, Juan",D,Financial Services,
Colorado,Colorado,,,,
Colorado,District,Name,Party,Committee Assignment,
Colorado,1st,"DeGette, Diana",D,Energy and Commerce,
Colorado,2nd,"Neguse, Joe",D,Natural Resources|Judiciary|Rules,
Colorado,3rd,"Boebert, Lauren",R,Oversight and Accountability|Natural Resources,
Colorado,4th,"Buck, Ken",R,Foreign Affairs|Judiciary,
Colorado,5th,"Lamborn, Doug",R,Armed Services|Natural Resources,
Colorado,6th,"Crow, Jason",D,Foreign Affairs|Intelligence,
Colorado,7th,"Pettersen, Brittany",D,Financial Services,
Colorado,8th,"Caraveo, Yadira",D,"Agriculture|Science, Space, and Technology",
Connecticut,Connecticut,,,,
Connecticut,District,Name,Party,Committee Assignment,
Connecticut,1st,"Larson, John",D,Ways and Means,
Connecticut,2nd,"Courtney, Joe",D,Armed Services|Education and the Workforce,
Connecticut,3rd,"DeLauro, Rosa",D,Appropriations,
Connecticut,4th,"Himes, James",D,Financial Services|Intelligence,
Connecticut,5th,"Hayes, Jahana",D,Agriculture|Education and the Workforce,
Delaware,Delaware,,,,
Delaware,District,Name,Party,Committee Assignment,
Delaware,At Large,"Blunt Rochester, Lisa",D,Energy and Commerce,
District of Columbia,District of Columbia,,,,
District of Columbia,District,Name,Party,Committee Assignment,
District of Columbia,Delegate,"Norton, Eleanor",D,Oversight and Accountability|Transportation and Infrastructure,
Florida,Florida,,,,
Florida,District,Name,Party,Committee Assignment,
Florida,1st,"Gaetz, Matt",R,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary,
Florida,2nd,"Dunn, Neal",R,Energy and Commerce|Select Comm on the Strategic Competition US and China,
Florida,3rd,"Cammack, Kat",R,Agriculture|Select Subcommittee on the Weaponization of the Fed Govt|Energy and Commerce,
Florida,4th,"Bean, Aaron",R,Education and the Workforce|Transportation and Infrastructure|Small Business,
Florida,5th,"Rutherford, John",R,Appropriations|Ethics,
Florida,6th,"Waltz, Michael",R,Armed Services|Foreign Affairs|Intelligence,
Florida,7th,"Mills, Cory",R,Armed Services|Foreign Affairs,
Florida,8th,"Posey, Bill",R,"Financial Services|Science, Space, and Technology",
Florida,9th,"Soto, Darren",D,Agriculture|Energy and Commerce,
Florida,10th,"Frost, Maxwell",D,"Oversight and Accountability|Science, Space, and Technology",
Florida,11th,"Webster, Daniel",R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",
Florida,12th,"Bilirakis, Gus",R,Energy and Commerce,
Florida,13th,"Luna, Anna Paulina",R,Oversight and Accountability|Natural Resources,
Florida,14th,"Castor, Kathy",D,Energy and Commerce|Select Comm on the Strategic Competition US and China,
Florida,15th,"Lee, Laurel",R,House Administration|Homeland Security|Judiciary,
Florida,16th,"Buchanan, Vern",R,Joint Committee on Taxation|Ways and Means,
Florida,17th,"Steube, W.",R,Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means,
Florida,18th,"Franklin, C.",R,"Appropriations|Science, Space, and Technology|Veterans' Affairs",
Florida,19th,"Donalds, Byron",R,Financial Services|Oversight and Accountability,
Florida,20th,"Cherfilus-McCormick, Sheila",D,Foreign Affairs|Veterans' Affairs,
Florida,21st,"Mast, Brian",R,Foreign Affairs|Transportation and Infrastructure,
Florida,22nd,"Frankel, Lois",D,Appropriations,
Florida,23rd,"Moskowitz, Jared",D,Foreign Affairs|Oversight and Accountability,
Florida,24th,"Wilson, Frederica",D,Education and the Workforce|Transportation and Infrastructure,
Florida,25th,"Wasserman Schultz, Debbie",D,Appropriations|Select Subcommittee on the Weaponization of the Fed Govt,
Florida,26th,"Diaz-Balart, Mario",R,Appropriations,
Florida,27th,"Salazar, Maria",R,Foreign Affairs|Small Business,
Florida,28th,"Gimenez, Carlos",R,Armed Services|Homeland Security|Select Comm on the Strategic Competition US and China,
Georgia,Georgia,,,,
